plate_id,well,variant_id,replicate,signal,control_type,screening_round,source_file,blank_mean,positive_mean,negative_mean,positive_corrected,n_blank,n_positive,n_negative,n_sample,background_corrected,normalized_signal
P002,A9,R2_03,2,185.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,175.0,0.875
P002,A10,R2_04,1,167.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,157.0,0.785
P002,A11,R2_04,2,173.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,163.0,0.815
P002,A12,R2_05,1,199.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,189.0,0.945
P002,B1,R2_05,2,205.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,195.0,0.975
P002,B2,R2_06,1,201.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,191.0,0.955
P002,B3,R2_06,2,207.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,197.0,0.985
P002,B4,R2_07,1,159.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,149.0,0.745
P002,B5,R2_07,2,165.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,155.0,0.775
P002,B6,R2_08,1,101.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,91.0,0.455
P002,B7,R2_08,2,107.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,97.0,0.485
